,memo_id,task_id,memo_type_id,proj_id,task_memo
15,1384489,12456296,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
16,1384490,12456298,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
17,1384491,12456302,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
18,1384492,12456303,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
19,1384493,12456305,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
20,1384494,12456307,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
21,1384495,12456309,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
22,1384496,12456311,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
23,1384497,12456313,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
24,1384498,12456318,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
25,1384499,12456319,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
26,1384500,12456324,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
27,1384501,12456325,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
28,1384502,12456328,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
29,1384503,12456329,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
30,1384504,12456331,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
31,1384505,12456333,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
32,1384506,12456335,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>general area /early order/delta req to follow</FONT></BODY></HTML>"
33,1384507,12456340,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
34,1384508,12456341,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
35,1384509,12456342,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
36,1384510,12456347,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
37,1384511,12456349,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Early order of Materials???</FONT></BODY></HTML>"
38,1384512,12456350,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
39,1384513,12456351,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
40,1384514,12456352,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
41,1384515,12456353,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
42,1384516,12456365,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
43,1384517,12456367,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
44,1384518,12456369,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
45,1384519,12456416,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
46,1384520,12456417,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
47,1384521,12456420,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
48,1384522,12456421,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
49,1384523,12456436,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
50,1384524,12456437,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
51,1384525,12456439,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
52,1384526,12456440,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
53,1384527,12456442,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
54,1384528,12456443,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
55,1384529,12456445,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
56,1384530,12456446,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
57,1384531,12456448,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
58,1384532,12456449,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
59,1384533,12456452,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
60,1384534,12456453,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
61,1384535,12456455,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
62,1384536,12456456,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
63,1384537,12456482,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
64,1384538,12456483,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
65,1384539,12456485,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
66,1384540,12456486,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
67,1384541,12456487,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
68,1384542,12456488,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
69,1384543,12456490,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
70,1384544,12456491,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
71,1384545,12456492,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
72,1384546,12456493,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
73,1384547,12456494,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Plant L.O. thru start erection of pipe 58 weeks</FONT></BODY></HTML>"
74,1384548,12456495,20,14517,"<!DOCTYPE HTML PUBLIC """"-//W3C//DTD HTML 4.0 Transitional//EN""""><HTML><HEAD><META http-equiv=Content-Type content=""""text/html; charset=unicode""""><META content=""""MSHTML 6.00.3790.279"""" name=GENERATOR></HEAD><BODY bgColor=#ffffff><FONT size=2>Need to tie to material deliveries</FONT></BODY></HTML>"
